Title,Subtitle,Price,Offer,Shipping,Country,Sold
"Lenovo 14"" FHD Laptop - Core i3 - 8GB RAM - 256GB Storage - Win 11 (82QC006KUS)",Open Box,$209.99,No best offer,+$83.32 shipping,from United States,No sold information
"15.6"" HP ProBook Laptop PC: Intel i7! 16GB RAM! 1TB SSD! Windows 10 Pro! Webcam!",No subtitle,$249.95,or Best Offer,+$91.22 shipping,from United States,No sold information
"TOUCHSCREEN Chromebook Lenovo IdeaPad 3 15'' 128GB, 4GB RAM,  Intel, 82N4002SUS",Open Box,$159.99,No best offer,+$81.84 shipping,from United States,105 sold
"Lenovo ThinkPad X1 Carbon Gen 9 14"" WUXGA Touch i5-1145G7 32GB 512GB FPR W11P",Certified - Refurbished,$516.06,No best offer,+$92.35 shipping,from United States,265 sold
"ASUS Vivobook 16""  WUXGA Notebook Intel Core i7-1355U 16GB RAM 1TB SSD",No subtitle,$519.99,No best offer,+$105.93 shipping,from United States,371 sold
"Dell Latitude 3380 13"" Laptop Computer PC Windows 10 Core i3 16GB RAM 256GB SSD",Very Good - Refurbished,$139.50,or Best Offer,+$81.24 shipping,from United States,No sold information
HP 17.3  FHD Notebook AMD Ryzen 5 5500U 8GB RAM 256GB SSD Natural Silver 17-cp00,No subtitle,$339.99,No best offer,+$114.10 shipping,from United States,"10,000+ sold"
"Dell Latitude Laptop PC Computer 13.3"" Core i5 8GB RAM 256GB SSD Windows 10 WiFi",Very Good - Refurbished,$152.04,or Best Offer,+$95.08 shipping,from United States,108 sold
Windows 11 Laptop Dell Latitude 7480 FHD Core i5-7200U 2.50GHz 8GB RAM 256GB SSD,Good - Refurbished,$171.78,No best offer,+$118.93 shipping,from United Kingdom,No sold information
"Dell Latitude Laptop PC Computer 13.3"" Core i5 8GB RAM 256GB SSD Windows 10 WiFi",Very Good - Refurbished,$152.04,or Best Offer,+$95.08 shipping,from United States,108 sold
Windows 11 Laptop Dell Latitude 7480 FHD Core i5-7200U 2.50GHz 8GB RAM 256GB SSD,Good - Refurbished,$171.78,No best offer,+$118.93 shipping,from United Kingdom,No sold information
Dell Laptop Windows 11 Latitude 5300 2 in 1 Intel Core i5 256GB SSD 8GB Webcam,Good - Refurbished,$159.00,No best offer,+$88.54 shipping,from United States,No sold information
Dell Chromebook 11  2-in-1 Touchscreen Intel 2.48 GHz 4GB Memory 32GB  eMMC HD,No subtitle,$79.99,No best offer,+$72.73 shipping,from United States,70+ sold
"Lenovo ThinkPad X1 Carbon Gen 9 14"" WUXGA Touch i5-1145G7 32GB 512GB FPR W11P",Certified - Refurbished,$516.06,No best offer,+$92.35 shipping,from United States,265 sold
"ASUS Vivobook 16""  WUXGA Notebook Intel Core i7-1355U 16GB RAM 1TB SSD",No subtitle,$519.99,No best offer,+$105.93 shipping,from United States,371 sold
"HP ProBook X360 11 G3 Touch 11.6"" Laptop Pentium 4GB RAM 128GB SSD Windows 10",Very Good - Refurbished,$109.99,or Best Offer,+$73.62 shipping,from United States,446 sold
"Dell laptop Latitude 7480 14"" i7 2.60GHz 16GB NEW 512GB SSD Win 11 Pro WIFI Cam",No subtitle,$269.99,or Best Offer,+$38.72 shipping,from United States,"1,379 sold"
"Lenovo ThinkPad T480 14"" FHD i5 8350u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop",Excellent - Refurbished,$279.99,or Best Offer,+$39.31 shipping,from United States,220 sold
"Lenovo AMD Ryzen 5 PRO 14"" Gaming Laptop 32GB RAM 4TB SSD RADEON RX - Windows 11",No subtitle,$429.99 to $823.00,No best offer,+$89.81 shipping,from United States,No sold information
"Dell Latitude E7450 14"" Core i7 Laptop PC Computer Windows 10 16GB RAM 512GB SSD",Very Good - Refurbished,$219.36,or Best Offer,+$97.06 shipping,from United States,558 sold
"~CLEARANCE~ 15.6"" Dell Latitude Laptop: Intel i5 16GB RAM 512 SSD Windows 10",No subtitle,$189.95,or Best Offer,+$82.73 shipping,from United States,No sold information
"~OVERSTOCK EVENT~ 15.6"" HP ProBook Laptop PC: Radeon R5! 16GB RAM! 256GB SSD!",No subtitle,$224.99,or Best Offer,+$83.76 shipping,from United States,No sold information
"~OVERSTOCK~ 15.6"" Dell Latitude Laptop PC: 16GB of RAM! 256GB SSD! Win 11 Pro!",No subtitle,$229.95,or Best Offer,+$83.91 shipping,from United States,No sold information
Dell Latitude 7490 Laptop PC Intel Core i7 4.20GHz 64GB RAM 4TB SSD Win 11 Pro,No subtitle,$398.00 to $841.00,No best offer,+$89.22 shipping,from United States,No sold information
"HP Chromebook 11 G6 11.6"" Intel 2.40 GHz 4GB RAM 16GB eMMC Bluetooth Webcam",No subtitle,$79.99,No best offer,+$72.73 shipping,from United States,No sold information
"Dell Latitude Business Laptop PC 14"" FHD Core i5 16GB RAM 512GB SSD Windows 11",Very Good - Refurbished,$329.99,or Best Offer,+$86.86 shipping,from United States,No sold information
HP 17.3  FHD Notebook AMD Ryzen 5 5500U 8GB RAM 256GB SSD Natural Silver 17-cp00,No subtitle,$339.99,No best offer,+$114.10 shipping,from United States,"10,000+ sold"
"HP EliteBook 840 G8 Laptop Intel Core i5-1145G7 16GB 256 GB SSD 14"" Win 11 Pro",No subtitle,$306.99,No best offer,+$86.18 shipping,from United States,No sold information
HP 17-cn1009cy 17in Touch Laptop Intel i5-1155G7 12gb 512gb SSD Win11,Open Box,$379.99,No best offer,+$108.53 shipping,from United States,53 sold
"HP X360 11 G1 EE Touch 2-in-1 Laptop 11.6"" Pentium Windows 10 4GB RAM 128GB SSD",Very Good - Refurbished,$94.99,No best offer,+$79.93 shipping,from United States,"1,320 sold"
"Dell Chromebook 3180 Laptop 11.6"" Celeron 4GB RAM 32GB SSD Chrome OS WiFi HDMI",Good - Refurbished,$54.99,or Best Offer,+$71.99 shipping,from United States,"1,428 sold"
"~OVERSTOCK~ 14"" HP ProBook Laptop: 16GB RAM! 1TB SSD! Backlit Keyboard! Win11!",No subtitle,$269.99,or Best Offer,+$85.09 shipping,from United States,No sold information
Dell Latitude 5410 14-inch FHD Intel i7-10610U 32GB 512GB SSD Win 10 Pro Laptop,No subtitle,$309.99,No best offer,+$125.39 shipping,from United States,39 sold
"HP Elitebook 840 G5 14"" Laptop Intel Core i5-8350U (1.70GHz) 16GB 256GB SSD W11P",No subtitle,$209.99,No best offer,+$83.32 shipping,from United States,163 sold
Dell XPS 13 9360 13.3” FHD Laptop PC Core i5 8GB RAM 256GB SSD NVMe Windows 10,Very Good - Refurbished,$249.99,No best offer,+$77.75 shipping,from United States,69 sold
Lenovo ThinkPad Laptop Computer Dual-Core Intel i7 8GB RAM 256GB SSD Windows,Very Good - Refurbished,$152.99,or Best Offer,+$81.64 shipping,from United States,No sold information
~OVERSTOCK SALE~ 15.6 HP ProBook i5 Laptop: 8GB RAM! 256GB SSD! Windows 10 Pro!,No subtitle,$184.95,or Best Offer,+$102.78 shipping,from United States,No sold information
Dell Latitude 7400 Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 4TB SSD Win 11,No subtitle,$398.00 to $841.00,No best offer,+$89.22 shipping,from United States,No sold information
Windows 10 Laptop Dell Latitude 5480 FHD i5-6200U 2.30GHz 8GB RAM 128GB SSD,Good - Refurbished,$145.35,or Best Offer,+$118.93 shipping,from United Kingdom,No sold information
Lenovo N22 Chromebook Intel 1.6 GHz 4GB Memory 16GB HD Bluetooth HDMI Webcam,No subtitle,$69.99,No best offer,+$65.71 shipping,from United States,No sold information
Microsoft Surface Pro 4 Intel i5 8GB RAM 256GB SSD Smashed & Cracked screen,Pre-Owned,$51.54,No best offer,+$37.00 shipping,from United Kingdom,23 sold
"Microsoft Surface Edition Laptop 4 13.5"" AMD Ryzen 5 256GB NVMe, 16GB WIN 11 PRO",Good - Refurbished,$349.99,No best offer,+$73.97 shipping,from United States,223 sold
"HP 15.6"" TouchScreen Laptop (256GB SSD, Intel 7505, 2.00GHz, 8GB RAM) 15DY2005TG",Brand New,$289.99,No best offer,+$85.68 shipping,from United States,11 sold
"Blackview Windows 11 Laptops 15.6"" Intel 12th N97 16GB+512GB 3.6GHz AceBook 8",Brand New,$281.06,or Best Offer,+$105.62 shipping,from United States,No sold information
Dell Latitude 7400 14 FHD Touch Intel i7-8665U 32GB 512GB SSD Win 11 Pro Laptop,No subtitle,$319.99,No best offer,+$113.51 shipping,from United States,306 sold
Lenovo IdeaPad Slim 5 16  WUXGA Notebook AMD Ryzen 7 8845HS 16GB LPDDR5X 512GB S,Brand New,$529.99,No best offer,+$119.70 shipping,from United States,367 sold
"Samsung - Galaxy Book4 15.6"" FHD Laptop - Intel Core 7- 16GB Memory - 512GB SSD",Brand New,$499.99,No best offer,+$124.76 shipping,from United States,No sold information
